name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
KR05C22,2.30103,0.5,1.30103,3.30103,2.29666,0.5,1.29666,3.29666
KR05C23,2.30103,0.5,1.30103,3.30103,2.29648,0.5,1.29648,3.29648
KR05C24,2.30103,0.5,1.30103,3.30103,2.30132,0.5,1.30132,3.30132
KR05C25,2.30103,0.5,1.30103,3.30103,2.29398,0.5,1.29398,3.29398
KR05C26,2.30103,0.5,1.30103,3.30103,2.2961,0.5,1.2961,3.2961
KR05C27,2.30103,0.5,1.30103,3.30103,2.29965,0.5,1.29965,3.29965
KR05C28,2.30103,0.5,1.30103,3.30103,2.2896,0.5,1.2896,3.2896
KR05C29,2.30103,0.5,1.30103,3.30103,2.29155,0.499999,1.29156,3.29155
KR05C30,2.30103,0.5,1.30103,3.30103,2.29039,0.499997,1.29039,3.29038
KR05C31,2.30103,0.5,1.30103,3.30103,2.27954,0.499993,1.27956,3.27953
KR05C32,2.30103,0.5,1.30103,3.30103,2.27913,0.499983,1.27916,3.27909
KR05C33,2.30103,0.5,1.30103,3.30103,2.28825,0.499955,1.28834,3.28817
KR05C34,2.30103,0.5,1.30103,3.30103,2.28529,0.499899,1.28549,3.28509
KR05C35,2.30103,0.5,1.30103,3.30103,2.3167,0.49987,1.31696,3.31645
KR05C36,2.30103,0.5,1.30103,3.30103,2.35191,0.499425,1.35306,3.35075
KR05C37,2.30103,0.5,1.30103,3.30103,2.36894,0.499067,1.37081,3.36707
KR05C38,2.30103,0.5,1.30103,3.30103,2.4281,0.499015,1.43007,3.42612
KR05C39,2.30103,0.5,1.30103,3.30103,2.37194,0.498967,1.374,3.36987
KR05C40,2.30103,0.5,1.30103,3.30103,2.42528,0.499172,1.42694,3.42362
KR05C41,2.30103,0.5,1.30103,3.30103,2.4264,0.499156,1.42809,3.42471
KR05C42,2.30103,0.5,1.30103,3.30103,2.45868,0.498962,1.46076,3.4566
KR05C43,2.30103,0.5,1.30103,3.30103,2.43051,0.49886,1.43279,3.42822
KR05C44,2.30103,0.5,1.30103,3.30103,2.44943,0.498879,1.45167,3.44719
KR05C45,2.30103,0.5,1.30103,3.30103,2.44018,0.498998,1.44218,3.43817
KR05C46,2.30103,0.5,1.30103,3.30103,2.46925,0.498566,1.47212,3.46639
KR05C47,2.30103,0.5,1.30103,3.30103,2.46208,0.497746,1.46659,3.45758
KR05C48,2.30103,0.5,1.30103,3.30103,2.45805,0.497661,1.46273,3.45337
KR05C49,2.30103,0.5,1.30103,3.30103,2.48021,0.496566,1.48708,3.47334
KR05C50,2.30103,0.5,1.30103,3.30103,2.42873,0.48232,1.46409,3.39337
KR05C51,2.30103,0.5,1.30103,3.30103,2.53727,0.479245,1.57878,3.49576
KR05C52,2.30103,0.5,1.30103,3.30103,2.53427,0.492809,1.54865,3.51989
KR05C53,2.30103,0.5,1.30103,3.30103,2.54161,0.492946,1.55572,3.5275
KR05C54,2.30103,0.5,1.30103,3.30103,2.65078,0.494187,1.66241,3.63916
KR05C55,2.30103,0.5,1.30103,3.30103,2.8196,0.481646,1.8563,3.78289
KR05C56,2.30103,0.5,1.30103,3.30103,2.70302,0.476622,1.74977,3.65626
KR05C57,2.30103,0.5,1.30103,3.30103,2.66386,0.49285,1.67816,3.64956
KR05C58,2.30103,0.5,1.30103,3.30103,2.61767,0.498162,1.62134,3.61399
KR05C59,2.30103,0.5,1.30103,3.30103,2.60108,0.499098,1.60288,3.59927
KR05C60,2.30103,0.5,1.30103,3.30103,2.44349,0.499099,1.44529,3.44169
KR06C01,2.30103,0.5,1.30103,3.30103,2.30098,0.5,1.30098,3.30098
KR06C02,2.30103,0.5,1.30103,3.30103,2.30098,0.5,1.30098,3.30098
KR06C03,2.30103,0.5,1.30103,3.30103,2.30098,0.5,1.30098,3.30098
KR06C04,2.30103,0.5,1.30103,3.30103,2.30098,0.5,1.30098,3.30098
KR06C05,2.30103,0.5,1.30103,3.30103,2.30098,0.5,1.30098,3.30098
KR06C06,2.30103,0.5,1.30103,3.30103,2.30098,0.5,1.30098,3.30098
